Registration Code,ICAO,Owner Name,Description,Source of info,Notes
N628TS,A091A7,Elon Musk,"Owner of Tesla, SpaceX, Twitter",Jack Sweeney: https://mastodon.social/@ElonJet,
N3200X,A370BE,Taylor Swift,Pop star,Jack Sweeney: https://mastodon.social/@TaylorSwiftsJets,
N1980K,A18845,Kim Kardashian,Reality star,Jack Sweeney: https://mastodon.social/@KimKJet,
N756LB,AA314F,Jeff Bezos,CEO of Amazon,Jack Sweeney: https://mastodon.social/@BezosJets,
N887WM,AC39D6,Bill Gates,CEO of Microsoft,Jack Sweeney: https://mastodon.social/@GatesJets,
TWY87,A47B5A,Mark Zuckerberg,CEO of Meta,Jack Sweeney: https://mastodon.social/@ZuckJet,
N898TS,XXXXX,Taylor Swift,Pop star,https://www.aircharterservice.de/en/about-us/news-features/blog/private-jet-registration-codes-of-the-rich-and-famous,Swift owns two private jets
RA96019,157713,Russian Oligarch Plane,,https://data.dictatoralert.org/dictatorship/russia/,
RA89039,155BCF,Russian Oligarch Plane,,https://data.dictatoralert.org/dictatorship/russia/,
RA89066,155BEA,Russian Oligarch Plane,,https://data.dictatoralert.org/dictatorship/russia/,
RA96017,157711,Russian Oligarch Plane,,https://data.dictatoralert.org/dictatorship/russia/,
RA89067,155BEB,Russian Oligarch Plane,,https://data.dictatoralert.org/dictatorship/russia/,
RA61716,14F114,Russian Oligarch Plane,,https://data.dictatoralert.org/dictatorship/russia/,
RA61720,14F118,Russian Oligarch Plane,,https://data.dictatoralert.org/dictatorship/russia/,
RA96021,157715,Russian Oligarch Plane,,https://data.dictatoralert.org/dictatorship/russia/,
RA87972,1557A4,Russian Oligarch Plane,,https://data.dictatoralert.org/dictatorship/russia/,
RA64523,14FC0B,Russian Oligarch Plane,,https://data.dictatoralert.org/dictatorship/russia/,
